Rk,Player,Age,Team,Pos,G,Games Started,Min Played,PER,True Shooting %,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
91,Neemias Queta,26,BOS,C,76,75,1926,20.3,67.4%,1.6%,35.1%,13.4,22.7,18.1,9.3,1.6,5.2,11.5,14.7,5.4,3.6,9,0.224,0.9,2,2.8,2.4,
92,Nic Claxton,26,BRK,C,69,68,1920,17.6,59.2%,3.3%,39.3%,9.6,19.9,14.5,21.8,1.2,3.7,12.3,17.7,3.3,1.5,4.8,0.121,0.3,0.6,0.9,1.4,
93,Myles Turner,29,MIL,C,71,71,1912,14.2,58.4%,59.4%,27.4%,4.5,17.8,11.2,7.7,1.3,6,10.3,18.6,1.2,1.8,3,0.076,-0.9,0,-0.9,0.5,
94,Keldon Johnson,26,SAS,SF,82,0,1911,17.3,61.3%,34.3%,24.3%,7.9,16.6,12.4,8.5,1.2,0.5,7.4,21,3.9,2.6,6.4,0.161,1.2,-0.3,0.9,1.4,6MOY-1
95,Anthony Black,22,ORL,PG,64,40,1910,13.7,54.9%,38.9%,29.9%,2.7,11.6,7.1,18.5,2.3,2.1,13.1,22.2,0.3,2.4,2.6,0.067,-1.2,0.7,-0.6,0.7,
96,Tristan Da Silva,24,ORL,SF,77,34,1899,12,57.6%,51.8%,15.3%,3.4,13.4,8.3,9.3,1.7,1.2,9.4,16.2,1.3,2.1,3.3,0.084,-0.7,0.1,-0.6,0.7,
97,Moussa Diabaté,24,CHO,C,73,47,1899,17.2,65.3%,0.6%,48.5%,16.5,21.1,18.9,10.2,1.5,3.5,14.2,11.4,4.7,2.8,7.4,0.188,0.4,1.2,1.7,1.8,
98,Ausar Thompson,23,DET,SF,73,72,1896,16.2,54.5%,4.2%,33.1%,9,15.6,12.4,16.3,3.7,3.6,14.3,16.9,1.5,4.1,5.7,0.144,-0.6,3.6,3.1,2.4,"DPOY-3,DEF1"
99,Nique Clifford,23,SAC,SG,75,28,1882,9,50.5%,38.8%,16.3%,3.8,13.3,8.4,13,1.7,1.2,15.4,17,-1.2,0.6,-0.6,-0.014,-3.7,-1.2,-4.9,-1.4,
100,Ayo Dosunmu,26,2TM,SG,69,19,1881,16.5,63.0%,37.5%,19.4%,2.7,10.7,6.8,19.6,1.5,0.8,10.6,20.2,3.5,1.3,4.9,0.124,1.3,-0.3,1,1.4,6MOY-9
100,Ayo Dosunmu,26,CHI,SG,45,10,1187,17,63.6%,39.7%,21.6%,3,9.1,6.1,20.6,1.3,0.9,10.3,20.8,2.4,0.6,3,0.12,1.6,-0.9,0.8,0.8,
100,Ayo Dosunmu,26,MIN,SG,24,9,694,15.6,61.9%,33.3%,15.3%,2.3,13.5,8,17.8,1.7,0.7,11.2,19,1.1,0.8,1.9,0.132,0.7,0.8,1.5,0.6,
101,John Collins,28,LAC,PF,69,56,1872,16.3,64.3%,33.2%,23.4%,7,15.6,11.4,5.8,1.6,2.6,11.6,19.5,2.7,1.8,4.6,0.117,0,-0.5,-0.5,0.7,
